from_run,to_run,label,family,primary_metric,result,reason,changes,delta_score,delta_net_profit,delta_trades,delta_worst_mae,delta_average_mae,delta_slow_12h_trades
run_001,run_002,fallback-es-quality-box,take-profit,net_profit,mixed,score delta -240.037 < 0; net profit delta -241.4 < -25,profile.breakout_long_no_0dte.es-structure.min-score=5; profile.breakout_long_no_0dte.es-vwap.slope-min=0.1; profile.breakout_long_no_0dte.take-profit.distance=4; profile.pullback_long_no_0dte.es-structure.min-score=5,-240.0367588211575,-241.40000000000055,-2.0,0.0,1.5634978229317937,0.0
run_002,run_005,charm-pin-tail-risk-capture,runtime-risk,worst_mae,accepted,score delta 240.037 >= 0; net profit delta 241.4 >= -25; trade drop 0% <= 10%; MAE delta 0 >= 0; slow trades delta 0 <= 0,entry-veto-charm-pin-tail-risk-max-adx=20; entry-veto-charm-pin-tail-risk-max-rolling-high-distance=15; entry-veto-charm-pin-tail-risk-min-setup-quality-score=60; use-entry-veto-charm-pin-tail-risk-signature=true,240.0367588211575,241.40000000000055,2.0,0.0,-1.5634978229317937,0.0
run_003,run_006,fallback-prune-pullback-retain,take-profit,net_profit,mixed,score delta -21.4328 < 0,profile.breakout_long_no_0dte.enabled=false; profile.pullback_long_no_0dte.es-vwap.max-distance=8; profile.pullback_long_no_0dte.take-profit.distance=3; profile.squeeze_long_no_0dte.enabled=false,-21.432798076923063,-23.399999999999636,0.0,0.0,1.315384615384616,0.0
run_004,run_007,batch-g-1dte-quality-tighten,take-profit,net_profit,mixed,score delta -355.726 < 0; net profit delta -317.1 < -25,profile.breakout_long_1dte.es-structure.min-score=4; profile.breakout_long_1dte.es-vwap.slope-min=0.04; profile.breakout_long_1dte.long-regime-filter-1dte.min-forward-dex-ratio-30m=0.08; profile.breakout_long_1dte.take-profit.max-distance=6,-355.72553225108277,-317.09999999999945,-6.0,-76.75,-6.491832611832621,0.0
run_005,run_008,1dte-local-quality-gate,take-profit,net_profit,mixed,score delta -594.332 < 0; net profit delta -558.5 < -25,profile.breakout_long_1dte.es-structure.min-score=4; profile.breakout_long_1dte.es-vwap.slope-min=0.04; profile.breakout_long_1dte.take-profit.max-distance=6,-594.3322056937286,-558.5,-7.0,-76.75,-4.300624166190204,0.0
run_006,run_009,promote,take-profit,net_profit,mixed,score delta -529.728 < 0; net profit delta -481.6 < -25,option-call-volume.min-increase-pct=0.05; profile.call_wall_acceptance_long.dynamic-take-profit.max=7; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.03; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,-529.7279188518805,-481.60000000000036,-7.0,-111.75,-7.357831086439333,0.0
run_007,run_010,call-wall-sample-expansion,option-strike-map,score,mixed,score delta -314.156 < 0; net profit delta -305.8 < -25,option-call-volume.min-increase-pct=0.05; option-strike-acceptance-seconds=30; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.03; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,-314.1561856060598,-305.8000000000002,-3.0,-35.0,0.5591540404040387,0.0
run_008,run_011,promote,option-strike-map,score,mixed,score delta -314.156 < 0; net profit delta -305.8 < -25,option-call-volume.min-increase-pct=0.05; option-strike-acceptance-seconds=30; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,-314.1561856060598,-305.8000000000002,-3.0,-35.0,0.5591540404040387,0.0
run_009,run_012,runtime-risk-validation,runtime-risk,worst_mae,mixed,score delta -4668.63 < 0; net profit delta -544.2 < -25,trade-risk-max-adverse-points=12; use-stale-trade-exit=true; use-trade-health-exit=true,-4668.628704438717,-544.1999999999998,12.0,246.75,10.168265559373808,0.0
run_010,run_013,1dte-pullback-companion-activation,general,score,accepted,score delta 792.611 >= 0; net profit delta 747.7 >= -25; trade drop 0% <= 10%,"__router.one-dte-profiles=breakout_long_1dte,pullback_long_1dte",792.6110218253962,747.6999999999998,9.0,111.75,4.570773809523814,0.0
